i,conf,label_enc,hour,dow,ret_1,ret_4,ret_8,atr_pct,vol_ratio,pred_bcd,actual,pred_lr,pred_dt
200,0.9811320754716981,1,8,0,-0.0021024214058618096,-0.03218095936151144,-0.041246137586626985,0.01996106360432736,0.48938364915303917,0,1,0,1
208,0.9811320754716981,1,16,1,-0.005022625983530538,-0.0177470324691269,0.03934962154520627,0.02701007658715137,0.8829737039475116,0,0,0,1
216,0.9811320754716981,1,0,3,0.00779259517033104,-0.008721324100947614,-0.01524311873683104,0.017706733073063478,0.5564213343007145,0,0,0,0
224,0.9811320754716981,1,8,4,0.010327273328914366,0.01831966072617841,0.0040922619047618625,0.014230182010759635,0.8383024255889796,0,0,0,0
232,0.9811320754716981,1,16,5,0.007849850727572605,-0.0011380095178977756,-0.01180916197732329,0.014141451505511578,1.0389455004288404,0,0,0,0
296,0.9821428571428571,1,8,2,0.007858603686308419,0.02476980633007342,0.0023803309169525555,0.011455011085685805,0.9126869207552372,0,1,0,0
304,0.9821428571428571,1,16,3,0.015479428721850264,0.013941828991500538,0.02052037513486593,0.012040401399962222,1.4613107295047811,0,1,0,0
312,0.9821428571428571,1,0,5,0.0012691424654027728,-0.023633669000818647,-0.021552302531259615,0.011987470710544703,0.23186616755010148,0,1,0,0
320,0.9821428571428571,1,8,6,-0.004046463310199866,-0.005510545919835685,-0.0019283136917543908,0.009131606940053995,1.0364159487211961,0,0,0,0
328,0.9821428571428571,1,16,0,-0.004027746699485246,-0.01543169430987723,-0.02236210538149963,0.008671265401474608,1.1598135285680211,0,0,0,0
336,0.9821428571428571,1,0,2,0.002399618227170608,-0.0037561612256522547,-0.05392366165119722,0.0227918045232945,0.3404168479636279,0,0,0,0
344,0.9821428571428571,1,8,3,0.004956632366090341,0.03367807042656756,-0.024720939812136633,0.027620600569975846,0.7781467881155846,0,0,0,0
352,0.9375,0,16,4,0.005303276667369516,0.04928682617755742,-0.02610342356439821,0.03257816167194045,0.8023618229423336,1,1,1,1
360,0.9375,0,0,6,-0.002276540356270451,0.014401798717633252,0.01680939126684211,0.02333875438188474,1.078992306112376,1,1,1,1
368,0.9166666666666666,1,8,0,0.004137871271041371,-0.008209288168161466,0.08026975279652371,0.020546309138542114,0.911439699053022,0,0,0,0
376,0.5,0,16,1,0.06293688588823931,0.05047480608609667,-0.04891801510248106,0.03900643774494368,1.3596659490299476,1,1,1,1
384,0.9824561403508771,1,0,3,0.011009638264206867,0.019889148295343162,0.03854010591468526,0.028660999802790375,0.6830212660294079,0,0,0,0
392,0.9824561403508771,1,8,4,0.007020817857336992,0.004975787814235799,-0.028771384136858424,0.02735318270667899,0.4643520728735072,0,0,0,0
400,0.9824561403508771,1,16,5,-0.00196271421954608,0.003615510013972978,-0.03079204936983293,0.02630087671246498,1.2333612759237214,0,0,1,0
408,0.9824561403508771,1,0,0,0.016251326082430406,-0.03518056808969516,-0.048617887122130554,0.018657729859911338,0.9145827762128967,0,0,0,0
416,0.9824561403508771,1,8,1,0.016154554275620292,0.03349692739232579,-0.003847556283468001,0.027092884442984702,0.8621566067738732,0,1,0,0
424,0.9824561403508771,1,16,2,0.014557811970164591,0.009489854832383626,0.014601283473261839,0.02720208928483086,0.8472846198678164,0,1,0,0
432,0.9824561403508771,1,0,4,0.0095713901639507,-0.012997425834493814,-0.012256673419621555,0.018885382191698365,0.5524824026643594,0,1,0,0
440,0.9824561403508771,0,8,5,0.003076482451639162,-0.00536398286081452,0.02679281469310979,0.01504443699654447,1.1120239566434178,1,1,1,0
448,0.9824561403508771,0,16,6,-0.002590057636887577,-0.014610437755572803,-0.011783979023208713,0.012492043599270182,1.5084083527190097,1,1,1,1
456,0.9824561403508771,0,0,1,-0.010186641957340536,-0.004401317759808232,0.000521282909745846,0.014342422181777451,0.6480492994067734,1,0,0,1
464,0.9824561403508771,0,8,2,0.008368960644598689,0.019143489876436437,0.00891374555395652,0.012781911844982813,1.4334174680233995,1,1,1,0
472,0.9824561403508771,0,16,3,-0.006058450818209882,-0.0200373910156727,0.003350093740608129,0.01616737569431813,1.253172354279468,1,0,1,1
480,0.9824561403508771,0,0,5,0.001948833020227303,0.002477204009237566,0.0010079722522355894,0.013310207469499095,0.31436428184585424,1,0,1,0
488,0.9824561403508771,0,8,6,0.00500534845702072,0.0061437268377100285,0.0051939045836741915,0.007268034234478999,1.748624583929923,1,1,1,1
552,0.975609756097561,1,0,3,0.011685746880345516,-0.012769672678058397,-0.017226130203493728,0.019393795697286442,0.5459742511915493,0,0,0,0
560,0.975609756097561,1,8,4,-0.015892921367851143,0.008005865031093906,-0.009770039185610369,0.021814863150782987,2.236717113323055,0,1,1,1
568,0.975609756097561,1,16,5,0.0029342524014126514,-0.00917621076332431,0.002238796035999746,0.015700991615247694,0.7329155475624403,0,0,0,0
576,0.975609756097561,1,0,0,-0.009189947697410328,-0.0620757612899876,-0.06217315654556266,0.015396812726141053,0.898547690500336,0,1,0,1
584,0.975609756097561,1,8,1,0.0063072225312967856,0.02386334094457032,0.029356401989967695,0.027406428220314943,0.9632562160128977,0,0,0,0
592,0.98,0,16,2,0.06543186220182906,0.09663379530916827,0.029289665877420434,0.030524453345064012,1.7116674050609366,1,0,1,0
600,0.98,0,0,4,0.015544204262935457,-0.012735950498049875,-0.018161071509295024,0.025951932738579243,0.6809686013606415,1,1,1,1
608,0.98,0,8,5,-0.0024066324591863753,-0.0038838079215363086,0.03325746408587471,0.017981974304742722,0.8360669556138458,1,1,1,1
616,0.98,0,16,6,0.0015485545829698744,-0.01685115612351984,0.005580710076182216,0.01542910031544321,1.286382084682027,1,1,1,0
624,0.98,0,0,1,0.009437766915541435,0.005423393390386444,0.016700436808143815,0.014658306208933675,0.6561862088028473,1,0,0,0
632,0.98,0,8,2,0.008202820282028123,0.0006420136597635739,-0.015739544169491193,0.01216492548798209,1.2186618244959115,1,0,1,1
640,0.98,0,16,3,0.0035741548366481357,0.010055590429441041,0.00939190677133861,0.013156385169711036,1.4844607666958123,1,0,1,0
648,0.98,0,0,5,0.005026000639651196,0.00255112289582593,0.0005636958636752176,0.007338987208820919,1.1580621496138137,1,1,1,1
656,0.98,0,8,6,-0.007693260873413377,-0.0114009520976599,-0.00896572939219964,0.00559929268515624,1.9240429325334465,1,1,1,0
664,0.98,0,16,0,-0.0071399836813359485,0.002323137532036279,0.03906184961336567,0.010573205270186242,1.2823451090680291,1,1,1,1
672,0.98,0,0,2,-0.0029859247212939977,0.05140748786025484,0.06589171686557371,0.015903261633240375,0.48940822490687885,1,1,0,1
680,0.98,0,8,3,0.004438730117396927,-0.009216974559138169,-0.005915641174322861,0.015389744573401934,1.3874875393825474,1,1,1,1
688,0.98,0,16,4,0.0024147419257725122,0.02108341044509654,0.02866969627902094,0.013278040168951798,0.8275556741806376,1,0,1,0
744,0.98,0,0,0,-0.002431279993038271,-0.014415576245596307,-0.023993894841764174,0.007433423651425355,1.6013944929231503,1,1,1,0
752,0.98,0,8,1,-0.006144144144144104,-0.005569724960363898,-0.0024552904168142486,0.009138440270685793,1.3555849051779698,1,1,1,0
760,0.98,0,16,2,-0.007889440493760835,-0.003413032975372654,0.025107096809970697,0.010972886084460039,1.7162924983319214,1,1,1,1
768,0.98,0,0,4,-0.007833138457454925,0.030690410969932413,0.06548687848896106,0.013717044675504745,0.4498034191091178,1,1,1,1
776,0.98,0,8,5,-0.00334645498482955,0.0022211342230151754,0.009325372609708227,0.012408754181394666,1.357103932157952,1,1,1,1
784,0.98,0,16,6,0.002793924079820931,0.004098210832744975,0.009665817328434523,0.010351119862319038,0.875636683069621,1,0,1,0
792,0.98,0,0,1,-0.010297909368664149,-0.01951495153083116,-0.025796703770486484,0.015086985372082036,0.5958225838334783,1,1,0,1
800,0.98,0,8,2,0.002326788356797449,-0.00803190996775971,0.021853575829577254,0.013443599673212956,1.563034938530425,1,0,1,0
808,0.98,0,16,3,-0.0010095803556202654,0.003903370880599999,-0.007664811738595567,0.01135935068839723,1.1718170549525369,1,1,1,1
816,0.98,0,0,5,0.0005076770439078615,-0.0014457435976624744,0.003469211595720889,0.010085979635014217,1.2711299049037772,1,0,1,0
824,0.98,0,8,6,-0.0011935356568777422,0.006487869555897641,0.0029410997180681075,0.006370537306076818,1.249687519576672,1,0,1,1
832,0.98,0,16,0,0.006849315068493178,0.01823318470513491,0.01627460995094876,0.013934822405604112,1.0173717346956137,1,0,1,0
840,0.98,0,0,2,-8.520591272864753e-05,0.015517425008938934,0.012642023634098054,0.0156404298382555,0.5783768595264968,1,1,0,0
896,0.98,1,8,4,0.007903997714231226,0.0012128757833549386,-0.02008400280009337,0.012775721869491538,1.0934239444872706,0,0,0,0
904,0.98,1,16,5,0.0015005201101272458,0.00978192803750666,-0.011088810648282044,0.01233665034392958,0.711773675663937,0,0,0,0
912,0.98,1,0,0,-0.007591162617573088,0.007149310828735711,0.0012221235902341032,0.008199079283943252,0.9311288037148318,0,0,0,0
920,0.98,1,8,1,0.0010053797805475995,0.00837146821199175,0.004373851184079625,0.009333758845589402,0.5999945441539964,0,1,0,0
928,0.98,1,16,2,-0.0036511433693697803,-0.005731221361669925,-0.003512919505017642,0.009070583446670515,0.6226845157708369,0,0,0,0
936,0.98,1,0,4,0.009721206482249833,-0.022217619666191735,-0.023128547235444885,0.011239212493740533,0.418838729430615,0,1,0,0
992,0.98,1,8,6,-0.004266703108259051,0.003272064202068492,-0.002518314583028314,0.008756023889286372,0.8578763833691575,0,1,0,0
1000,0.98,1,16,0,0.011355540261271502,0.02577418916059604,0.03497467226434248,0.008767108582752514,1.1498391525514255,0,0,0,0
1008,0.98,1,0,2,0.0059727484977225576,-0.004362982738422727,-0.031880155662088794,0.012930998169107902,0.36883930484759614,0,0,0,0
1016,0.98,1,8,3,0.0012602081160080214,0.009100606803484013,-0.00394265505715663,0.011072149216417103,0.6454977158335864,0,0,0,0
1024,0.98,1,16,4,-0.008684007161473994,-0.01234946932287384,-0.013883039829942767,0.01100944833023514,1.335467709434918,0,1,1,1
1032,0.98,1,0,6,0.0025489861853176254,-0.014326647564469885,-0.008946979534958488,0.011100603031910438,1.3324788616314662,0,0,1,0
1040,0.98,1,8,0,-0.006144815434676931,0.024474424186251786,-0.01066542896228262,0.014134600935886902,0.6237425805159836,0,1,0,1
1048,0.98,0,16,1,0.003780978928434431,0.0067903118146277475,0.04280162175242097,0.017391476125485014,0.9819127722476367,1,1,1,0
1056,0.98,0,0,3,0.004933818046234162,0.006281717774461182,0.021094484765883603,0.010600463702376054,0.728387314410664,1,0,1,0
1064,0.98,0,8,4,0.0011870780747240683,-0.0049536594647554555,-0.008028991932978014,0.00896740194005951,1.1306543630406551,1,1,1,1
1072,0.98,0,16,5,-0.0022819614254485643,-0.0007972176637326411,0.002045936319764463,0.00693986102547866,1.0990539035863933,1,1,1,0
1080,0.98,0,0,0,0.0014486223776610796,0.00016966609896140739,0.012170302111279563,0.004988496140158344,1.0803896753811755,1,0,1,1
1088,0.98,0,8,1,-0.005396000742988405,-0.010519121623629446,-0.017608169143156327,0.007344238672976027,1.2720477117928022,1,0,1,0
1096,0.98,0,16,2,0.008524747620182183,0.03280478613152438,0.028764940388600113,0.00900797585675335,1.4287618576235288,1,0,1,1
1104,0.98,0,0,4,-0.0031913767102528245,-0.003244151125959549,-0.003888821485487748,0.009156111994046857,0.44200795626421396,1,0,1,0
1112,0.98,0,8,5,0.0005388843981857239,0.00585965134376365,-0.010407928524592602,0.007543755487241984,0.7003463130367078,1,0,1,1
1120,0.98,0,16,6,-0.003334656172145456,0.004606639301531601,0.0040227986351912826,0.005156252510018343,0.9104363467248245,1,1,1,0
1128,0.98,0,0,1,-0.0032466482261729324,-0.006881221805913107,-0.0059100151345053975,0.006489015034010704,0.8440318710455447,1,1,1,0
1136,0.98,0,8,2,0.003068788716427351,0.0026185667141265245,0.010715550668226825,0.0069727980084347465,1.0272677532667376,1,1,1,1
1144,0.98,0,16,3,0.01702828917826671,0.01997600609574879,0.03887593880465978,0.009765079264161352,2.4021190266329855,1,1,1,0
1152,0.98,0,0,5,0.001957446808510621,-0.0005102296372955228,0.03959429949464033,0.012582179563407805,0.3747856040033312,1,0,1,0
1160,0.98,0,8,6,0.0007299703264096458,0.0043428798977585,0.00260001698802359,0.00774635895289661,0.9401255222388568,1,1,1,1
1168,0.98,0,16,0,0.0004747082296385763,-0.006735512684166389,0.01596037144568485,0.011036286095492237,0.7750996609221067,1,0,1,0
1176,0.98,0,0,2,-0.002215927670218276,0.0031355029100748055,-0.020366911274182775,0.015815902654755326,0.4199928253130934,1,1,0,1
1184,0.98,0,8,3,-0.002747394413405879,-0.01021758300213027,0.004182073859186675,0.012553853479300771,0.9469630389841218,1,1,1,1
1248,0.98,1,0,0,-0.0012870174521910638,0.010302964590600538,0.008973090035445663,0.005499061610546765,0.8364686131772392,0,0,0,0
1256,0.98,1,8,1,-0.002492087076652272,0.0043202033036848775,-0.005950379685703888,0.007356010217852316,0.9556270249971298,0,0,0,0
1264,0.98,1,16,2,-0.009197117422636736,-0.010510005799850175,-0.014294871794871766,0.010112077846955279,1.835778411787077,0,1,1,0
1272,0.98,1,0,4,-0.0008781535956328135,-0.023114841516459372,-0.010862942946232024,0.01043099848375475,1.2270397533723314,0,0,0,0
1280,0.98,1,8,5,-0.0016450154889531277,0.004007821431251335,-0.01611824661297956,0.011263710900578101,0.6470853641684602,0,0,0,0
1288,0.98,1,16,6,0.003114017644636702,0.006235969948278797,0.004629283626052416,0.00988187238767061,1.089848384205726,0,1,1,0
1296,0.98,0,0,1,-0.00684422284462638,-0.0020532983835735985,-0.0003850900147909231,0.007560240398746721,0.6405548769920221,1,0,0,0
1304,0.98,0,8,2,7.70718309464069e-05,0.005414134156767725,-0.00023639627019222953,0.008678169835209103,1.0085055266449174,1,1,1,1
1312,0.98,0,16,3,0.006627535911299054,0.025386722188840638,0.028195607244193788,0.009849630079921803,1.1648238647628115,1,0,1,0
1320,0.98,0,0,5,-0.0025439816442335283,-0.004356366157282743,-0.009165505469833302,0.007899223954204773,0.3992141009297441,1,1,1,0
1328,0.98,0,8,6,0.004465483569669582,0.015416322245770164,0.016886226000696336,0.007564867904490833,0.7109422426725884,1,1,1,1
1336,0.98,0,16,0,-0.010275943035406576,-0.021896448729294415,0.006250427952279036,0.010919929994355789,0.9578583518114,1,0,1,1
1344,0.9830508474576272,1,0,2,-0.005371374322332478,0.008204173247422508,0.0033662283373083746,0.011221730227306423,0.6679046415719767,0,1,0,1
1352,0.9830508474576272,1,8,3,-0.006526074728278708,-0.014439385951259709,0.012658662379851915,0.011151791095882718,0.7820038103631856,0,0,0,1
1360,0.9830508474576272,1,16,4,-0.002702684256864263,-0.016970503228692757,-0.033468129665748636,0.01372766711475008,1.0389736801092604,0,1,0,1
1368,0.9830508474576272,1,0,6,0.002537294478720975,0.002445875418866761,0.006222412318220627,0.007003348831018226,0.9223356891622112,0,0,0,0
1376,0.9830508474576272,1,8,0,-0.002198809933201984,-0.022352310532898878,-0.023186774510020602,0.006543267437523303,0.7585821930860723,0,0,0,0
1384,0.9830508474576272,1,16,1,-0.005730238283654265,-0.01462486689218745,-0.015854656222802466,0.010816335734998283,1.1233151994164563,0,1,0,1
1392,0.9830508474576272,1,0,3,-0.002700040710730489,0.002504675364678466,0.007373651708594942,0.010369336156061181,0.5646522551667993,0,0,0,0
1400,0.9830508474576272,1,8,4,-0.006787856698640571,0.0010699688282413966,-0.014390920718694522,0.008858143481133205,0.9824907070591664,0,1,0,0
1408,0.9795918367346939,1,16,5,0.0028612128789429203,-0.0036148802181393824,0.025225165846046282,0.011223675099843703,0.6239324015666367,0,0,0,0
1416,0.9795918367346939,1,0,0,-0.0051002104079199695,-0.015991874596781197,-0.019436183863588807,0.009788008438197996,0.7129783255905873,0,0,0,0
1424,0.9795918367346939,1,8,1,-0.0036464503348021537,-0.007304085660783888,-0.026805720325655646,0.013951247464869738,0.4573562721569544,0,1,0,1
1432,0.9795918367346939,1,16,2,0.0006046526998144675,0.00591791419338672,0.01994315481663711,0.01253402064905482,1.0049734153023158,0,1,0,0
1440,0.9795918367346939,1,0,4,-0.007632393631346601,-0.010878260754009883,-0.003429352832384769,0.010413475851913963,0.9911587369033131,0,0,0,0
1448,0.9795918367346939,1,8,5,0.0015857416015621073,0.00446671690297773,-0.026959585700134125,0.010981824139854523,0.6248327358092782,0,1,0,0
1456,0.9795918367346939,0,16,6,0.001094170370601999,-0.0027313845426716332,0.002196272779656505,0.008172837970536652,0.9602234630371452,1,0,1,1
1464,0.9795918367346939,0,0,1,0.010056975177652472,0.014386246009313819,0.012939348183090615,0.010248030445516981,1.1996333771188885,1,1,1,0
1472,0.9795918367346939,0,8,2,0.003152875276360767,0.005857711871370741,0.010024844495221563,0.012181990639971317,0.910248620982786,1,0,1,0
1480,0.9795918367346939,0,16,3,0.002794934580805375,-0.012179239670552233,-0.014702185802161094,0.01049237039803207,0.821614247864159,1,1,1,1
1488,0.9795918367346939,0,0,5,0.003788820493441758,-0.0112698531428429,0.011663366859856472,0.01197869893134408,0.2184214078961698,1,0,0,0
1496,0.9795918367346939,0,8,6,0.004865830614537936,0.011481388204210186,0.001940846947781738,0.008487871213546397,1.6784392710457452,1,0,1,1
1504,0.9795918367346939,0,16,0,-0.004642296239971033,0.009423908313957341,0.007204526761918073,0.005655906685348636,0.7766212760406503,1,1,1,0
1512,0.9795918367346939,0,0,2,-8.968617909110854e-06,-0.00799395715559259,-0.004927220640601249,0.008348064420366468,0.7603749659886995,1,1,1,1
1520,0.9795918367346939,0,8,3,-0.0006936162749913155,0.003837914401384035,0.022080935327613016,0.008684682954542179,0.9458053498861159,1,1,1,1
1528,0.9795918367346939,0,16,4,0.01300309651335918,0.012357312901093653,0.022816597622518087,0.008019950787306274,1.5407298910948144,1,0,1,1
1536,0.9795918367346939,0,0,6,-0.0020429353018701635,-0.002475134346565322,-0.0080224019848818,0.006274107899607347,0.8562846833091601,1,0,1,1
1544,0.9795918367346939,0,8,0,-0.0065690877130850645,-0.005090079880689324,-0.0053361700655562005,0.0056457693373065275,1.431529046904184,1,1,1,0
1552,0.9795918367346939,1,16,1,0.0075950634245185444,0.01307668747055346,0.015207505499569507,0.00777450550956436,1.396539104805562,0,0,0,0
1560,0.9795918367346939,1,0,3,0.009696527136444644,0.011455239711497534,0.006622244300176439,0.00916139714390732,0.8541986043891879,0,0,0,0
1568,0.9795918367346939,1,8,4,-0.00433889230732365,-0.009027878333602968,-0.01010880515131296,0.0088465556984962,1.075970082584898,0,0,0,0
1576,0.9795918367346939,1,16,5,-0.002517931311109778,0.002100625508041132,-0.006072556086265557,0.005678750746488803,0.836473719228764,0,0,0,0
1584,0.9795918367346939,1,0,0,-0.005044107726861147,-0.008276270278549713,-0.00893921128777575,0.0039511590519461836,2.6980643805816946,0,0,1,0
1592,0.9795918367346939,1,8,1,-0.0009686142447330459,0.007724436505167631,-0.014522320115808451,0.008575709026219281,0.7914130862898265,0,0,0,0
1600,0.9795918367346939,0,16,2,0.000633716358090286,0.015514194323345443,0.0038348270653256744,0.009268942022442241,0.7346735540735528,1,0,1,0
1608,0.9795918367346939,0,0,4,0.0055363544148090416,-0.015977023988443695,-0.03381884544379232,0.010513806609393904,0.5491030190970012,1,0,1,1
1616,0.9795918367346939,0,8,5,-0.0008138645948783108,0.0013737686258372683,-0.0024813397408743887,0.009426358214817201,1.1426540595589185,1,1,1,1
1624,0.9795918367346939,0,16,6,0.002651150104554967,0.008083380485624403,0.009296596007167812,0.004851864940039213,1.232928913202539,1,1,1,1
1632,0.9795918367346939,0,0,1,0.0005636411216458637,0.020253989219291002,0.036632584220758435,0.006859789528403905,0.7535290743965285,1,0,0,1
1640,0.9795918367346939,0,8,2,0.019706361241361048,0.021238029168281436,0.021127259526860787,0.008851780855981746,2.0651888031101344,1,1,1,1
1704,0.96875,1,0,6,0.0005805798744971113,-0.014090493528156944,-0.05112975139208942,0.02593385358948208,1.436710187052433,0,1,1,0
1712,0.96875,1,8,0,-0.010511376197853806,-0.001394713563108163,0.03150665245884743,0.014645356501041238,0.8922806215344369,0,0,0,1
1720,0.96875,1,16,1,-0.002473786373345943,-0.00790807556350881,-0.013891261928356768,0.016373102914887933,0.9503290463620268,0,0,0,1
1728,0.96875,1,0,3,0.005224979448775535,-0.005039296858933673,-0.011253386456307246,0.01562177045833203,0.6920776895655524,0,0,0,0
1736,0.96875,1,8,4,0.00030498691492475416,-0.02349301395360026,-0.05092588432152434,0.018215518343346532,2.1028133828238964,0,1,1,0
1744,0.96875,1,16,5,0.00121429613857571,-1.868722261155753e-05,0.013374617107200448,0.015711309051058445,0.6645851304234792,0,1,0,0
1752,0.96875,1,0,0,0.013944681736721476,0.02199746404457037,0.02875456677536592,0.010087156813235925,1.5294822517881108,0,1,0,0
1760,0.96875,1,8,1,0.004623217922606893,-0.02000812751162695,-0.014359620855146749,0.013049937878125287,0.9932038381341194,0,0,0,0
1768,0.9791666666666666,0,16,2,-0.004991238342011872,-0.0031902276053140666,-0.006361996103922407,0.017942628738889476,0.7374314616112809,1,1,1,1
1776,0.9791666666666666,0,0,4,0.003399199642993178,0.0108168487939313,0.02384238006473205,0.013661697157334363,0.6213827813396459,1,1,1,0
1784,0.9791666666666666,0,8,5,0.0006936131953405589,0.008604402769977426,0.010170299067299826,0.010258833915811377,1.0541553828057748,1,0,1,0
1792,0.9791666666666666,0,16,6,-0.0008957474871995608,0.021007084788162267,0.018145184791975133,0.007521349692340735,0.5430261965413529,1,1,1,1
1800,0.9791666666666666,0,0,1,-0.001755153461956982,-0.012475033021891235,0.002797096867092952,0.009282134197054558,0.9146571679084656,1,0,1,0
1808,0.9791666666666666,0,8,2,-0.0037652439964444007,-0.004791910515801412,-0.006845014091384494,0.010284408056428098,0.7205542716320706,1,0,1,0
1816,0.9791666666666666,1,16,3,-0.010917557810581568,-0.0379368441973178,-0.05826970097581896,0.018100095014431907,0.8870659718774031,0,1,0,1
1824,0.9791666666666666,1,0,5,0.00581704733504762,-0.001640759696201144,0.03473868750768805,0.016011349791317214,0.40984588972036184,0,1,0,0
1832,0.9791666666666666,1,8,6,0.0027182321837606604,0.008130685992616682,0.008628371989189976,0.008129248456783367,1.4935323276908237,0,0,1,0
1840,0.9791666666666666,1,16,0,0.01244717117485239,-0.007890736518176622,-0.03698488646403719,0.011797509192279286,1.1599602232512614,0,0,0,0
1848,0.9791666666666666,1,0,2,0.00635286440749816,-0.023303201834484977,-0.046152322564551485,0.021430712295966943,0.9123963218988224,0,1,0,0
1856,0.9791666666666666,1,8,3,0.00042661040580349585,-0.007382395382395379,0.01065480318292411,0.017946893593078116,0.8906107654613894,0,0,0,0
1864,0.9791666666666666,1,16,4,0.02572500446614656,0.014593058357507793,0.001622366561804034,0.01592653258690994,1.0911643071664832,0,0,0,0
1872,0.9791666666666666,1,0,6,-0.006320567364790919,-0.0017945967608855584,-0.016711175616836105,0.012544627525601272,0.9305796240562955,0,1,0,1
1880,0.9791666666666666,1,8,0,-0.002641477874451237,0.01310086184103132,0.04441616997743636,0.010299193949791355,0.7058682256050524,0,1,0,0
1888,0.9791666666666666,1,16,1,-0.0033224647350730274,-0.031329617422864775,-0.02885903637388043,0.014743209845059401,0.8865943335152541,0,1,0,1
1896,0.9791666666666666,1,0,3,0.004746776266709274,-0.02754622551555097,-0.009561129134909474,0.014537373671787968,0.7932168516394976,0,0,0,0
1904,0.9791666666666666,1,8,4,-0.009941307869523963,-0.025430060490799655,-0.05831727694021149,0.021297594355057542,0.725370480881331,0,1,0,1
1912,0.9791666666666666,1,16,5,-0.0026438832659025913,-0.00436566602862376,-0.0017361074992771064,0.020302292184915208,0.9217424404592268,0,0,0,1
1920,0.9791666666666666,1,0,0,0.013270828269920987,-0.0012124952922960563,-0.005164237550759121,0.013452321972297966,0.8055640997569798,0,0,0,0
1928,0.9791666666666666,1,8,1,0.011215013193808021,-0.0019922274761553505,-0.04188134544018618,0.01758079458366754,0.7196767921827834,0,1,0,0
1936,0.9791666666666666,1,16,2,-0.011604987708701775,-0.03249595501849911,-0.028597322068881215,0.01992969818999526,1.3360089606958736,0,1,0,1
1944,0.9791666666666666,1,0,4,-0.00945482342643822,-0.06649175232826154,-0.03460814313222149,0.022535065843432938,0.7288118570009271,0,0,0,1
1952,0.9791666666666666,1,8,5,-0.005573864348797031,-0.0011999923960878123,-0.020007577303063018,0.029654945405270743,0.939380973395774,0,1,0,1
1960,0.9803921568627451,0,16,6,0.002687183776257207,0.011774730179339388,0.038190140627267555,0.01840926616152993,1.0594452075597887,1,0,1,0
1968,0.9803921568627451,0,0,1,-0.00534861768828665,0.017888847012437425,0.005710573383274298,0.015398200303144876,0.5522765068537417,1,0,0,1
1976,0.9803921568627451,0,8,2,-0.009636366532341567,0.002466747279322723,-0.008269999122758165,0.015595778019786509,1.0272618567413323,1,1,1,1
1984,0.9803921568627451,0,16,3,0.0063368344866350235,0.00482925184487959,0.05100334063954648,0.01548125223485101,0.9351049725587086,1,0,1,0
1992,0.9803921568627451,0,0,5,-0.0023093569684681237,-0.008151415636842296,-0.00930166468099991,0.011667843509344864,0.26842148948904754,1,0,1,1
2000,0.9803921568627451,0,8,6,0.0008402575763406528,0.004392795374099423,0.004003839449237656,0.009416076418710458,1.7142735931842477,1,0,1,0
2008,0.9811320754716981,0,16,0,0.003957471943295987,-0.015456584398372497,-0.06610813739204768,0.014570554467595117,1.0264254080376596,1,1,1,1
2016,0.9811320754716981,0,0,2,0.014686172247178275,0.06025978249542807,0.08947696652350401,0.020310838474835988,0.6167500638230304,1,1,0,0
2024,0.9811320754716981,0,8,3,-0.004966869683135866,-0.0010849952363440885,0.003301680973590848,0.016885595595513996,0.8257640231374526,1,0,1,1
2032,0.9811320754716981,0,16,4,-0.00910810272745366,-0.027299307637270065,-0.03557138228255796,0.015914314894675537,1.7081902979813217,1,0,1,1
2040,0.9811320754716981,0,0,6,0.005364524182961183,0.0010068604928930025,0.0009498774981722136,0.010466455917615428,0.6105188226049405,1,1,1,1
2048,0.9811320754716981,0,8,0,0.004411067331877794,0.005950993491990131,0.025067019345284436,0.012103387210949485,0.7895388139416529,1,0,0,0
2056,0.9811320754716981,0,16,1,0.011707340232571362,0.03760236377318393,0.01999923849722851,0.017640427508401602,1.7817888396659087,1,0,1,0
2064,0.9811320754716981,1,0,3,-0.02331439754287723,-0.024459876962171,-0.04190188125453931,0.016716396453931956,1.086377009214825,0,1,0,1
2072,0.9811320754716981,1,8,4,-8.658992634447138e-05,0.01749023883868328,0.028368162737342884,0.015409315872612107,0.41839878816641274,0,0,0,0
2080,0.9811320754716981,1,16,5,0.0010604583400883882,-0.0016953844790928985,-0.024145526972391695,0.012132198030508528,0.7239642377361989,0,0,0,0
2088,0.9811320754716981,1,0,0,0.012722597221024312,-0.0007647674009777505,-0.010105279037702308,0.008185320051424784,1.3218034598839417,0,0,0,0
2096,0.9811320754716981,1,8,1,0.014561774121500948,0.012919230420815886,-0.0226725937613107,0.01508477580119904,1.0328148820474528,0,0,0,0
2104,0.9811320754716981,1,16,2,-0.013862605715701304,-0.013712159361124021,-0.014147536134176408,0.019057405069358636,1.2372470086001812,0,1,0,1
