entry_i,exit_i,side,entry,exit,exit_type,pnl_pct,regime,duration
19,32,LONG,16855.9,16717.25443268303,SL,-0.9025,Bullish Trend,13
32,34,LONG,16785.6,16948.286445822792,TP,0.8892,Bullish Trend,2
34,35,LONG,16834.2,17013.58795073496,TP,0.9856,Bullish Trend,1
35,47,LONG,16932.6,17120.55852568246,TP,1.03,Bullish Trend,12
47,48,LONG,16920.3,17061.614390917155,TP,0.7552,Bullish Trend,1
48,51,LONG,17124.7,17291.641505851647,TP,0.8949,Bullish Trend,3
51,58,LONG,17232.2,17405.716574109352,TP,0.9269,Bullish Trend,7
58,64,LONG,17317.5,17512.716535889303,TP,1.0473,Bullish Trend,6
64,65,LONG,17325.3,17524.679344609325,TP,1.0708,Bullish Trend,1
65,66,LONG,17540.6,17756.868962851517,TP,1.153,Bullish Trend,1
66,67,LONG,17935.7,18205.614179790697,TP,1.4249,Bullish Trend,1
67,69,LONG,18217.2,17964.96936863498,SL,-1.4646,Bullish Trend,2
69,70,LONG,18194.5,18510.293778790143,TP,1.6557,Bullish Trend,1
70,71,LONG,18077.7,18434.400580305133,TP,1.8932,Bullish Trend,1
71,76,LONG,18877.2,19345.689967426195,TP,2.4018,Bullish Trend,5
76,77,LONG,19252.5,19740.92525411394,TP,2.4569,Bullish Trend,1
77,78,LONG,19354.2,19854.312735962943,TP,2.504,Bullish Trend,1
78,79,LONG,19924.2,20481.794397679874,TP,2.7186,Bullish Trend,1
79,80,LONG,20996.3,20407.367280621405,SL,-2.8849,Bullish Trend,1
80,99,LONG,20913.1,21637.075781672953,TP,3.3818,Bullish Trend,19
99,106,LONG,21218.6,20650.926505316886,SL,-2.7554,Bullish Trend,7
106,119,LONG,21035.5,21755.439512885794,TP,3.3425,Bullish Trend,13
119,120,LONG,21494.2,22092.69832467507,TP,2.7045,Bullish Trend,1
120,124,LONG,22661.1,23386.435444341136,TP,3.1208,Bullish Trend,4
124,131,LONG,22996.2,22394.989790674455,SL,-2.6944,Bullish Trend,7
131,149,LONG,22720.0,23446.949464494675,TP,3.1196,Bullish Trend,18
149,161,LONG,22743.4,23405.98277988857,TP,2.8333,Bullish Trend,12
161,170,LONG,23246.7,23200.4,REGIME_FLIP,-0.2792,Bullish Trend,9
223,228,LONG,22870.9,23370.149224099045,TP,2.1029,Bullish Trend,5
228,232,LONG,23234.1,22828.114239258117,SL,-1.8274,Bullish Trend,4
232,234,LONG,22862.4,22482.960535647937,SL,-1.7397,Bullish Trend,2
234,235,LONG,22955.9,22569.653216961742,SL,-1.7626,Bullish Trend,1
235,238,LONG,22511.6,22088.624415750186,SL,-1.9589,Bullish Trend,3
238,239,LONG,22603.8,22186.24660765421,SL,-1.9273,Bullish Trend,1
239,243,LONG,22027.3,21558.936135678912,SL,-2.2063,Bullish Trend,4
243,267,LONG,21726.6,22297.067444460172,TP,2.5457,Bullish Trend,24
267,268,LONG,21798.9,22227.711792048998,TP,1.8871,Bullish Trend,1
268,273,LONG,22033.3,22544.18037833121,TP,2.2387,Bullish Trend,5
273,274,LONG,22433.0,22923.58004329619,TP,2.1069,Bullish Trend,1
274,275,LONG,22798.1,23320.058611632176,TP,2.2095,Bullish Trend,1
275,276,LONG,23310.6,23878.381853658448,TP,2.3557,Bullish Trend,1
276,279,LONG,24332.6,25012.929506968558,TP,2.716,Bullish Trend,3
279,280,LONG,24580.0,25263.563378210616,TP,2.701,Bullish Trend,1
280,281,LONG,25090.2,24501.497283631634,SL,-2.4263,Bullish Trend,1
281,282,LONG,24879.0,24260.561763372232,SL,-2.5658,Bullish Trend,1
296,298,SHORT,24576.7,25170.67441500909,SL,-2.4968,Bearish Trend,2
298,299,SHORT,24929.7,24208.743903407987,TP,2.812,Bearish Trend,1
299,308,SHORT,24512.5,25144.616851229945,SL,-2.6588,Bearish Trend,9
308,311,SHORT,25004.6,24263.455970764946,TP,2.884,Bearish Trend,3
311,315,SHORT,24607.7,23804.075088108817,TP,3.1857,Bearish Trend,4
315,327,SHORT,24156.4,23348.50253970939,TP,3.2644,Bearish Trend,12
327,328,SHORT,23876.4,23108.325316350063,TP,3.1369,Bearish Trend,1
328,331,SHORT,23337.2,23064.9,REGIME_FLIP,1.0868,Bearish Trend,3
331,345,LONG,23064.9,23846.51141258137,TP,3.3087,Bullish Trend,14
345,356,LONG,23420.0,23984.632937883292,TP,2.3309,Bullish Trend,11
356,363,LONG,23709.6,23203.090134119666,SL,-2.2163,Bullish Trend,7
363,366,LONG,23405.6,22919.217065644076,SL,-2.1581,Bullish Trend,3
366,367,LONG,23457.1,22998.04988819972,SL,-2.037,Bullish Trend,1
367,401,SHORT,22306.3,21555.195869193674,TP,3.2872,Bearish Trend,34
401,404,SHORT,21993.7,21521.24427031542,TP,2.0681,Bearish Trend,3
404,406,SHORT,21680.9,21197.246218251814,TP,2.1508,Bearish Trend,2
406,407,SHORT,21637.4,21160.52649430896,TP,2.1239,Bearish Trend,1
407,408,SHORT,20845.6,20279.074887572606,TP,2.6377,Bearish Trend,1
408,410,SHORT,20348.3,19706.829467031705,TP,3.0725,Bearish Trend,2
410,414,SHORT,19942.9,20473.153102006974,SL,-2.7389,Bearish Trend,4
414,424,SHORT,20140.3,20722.770888338742,SL,-2.9721,Bearish Trend,10
424,425,SHORT,20347.9,20854.232872637524,SL,-2.5684,Bearish Trend,1
425,426,SHORT,20770.5,21349.684096020555,SL,-2.8685,Bearish Trend,1
426,429,LONG,21986.2,22857.32739234405,TP,3.8822,Bullish Trend,3
429,430,LONG,22092.6,23011.951638841063,TP,4.0814,Bullish Trend,1
430,435,LONG,24009.0,25209.93066463813,TP,4.922,Bullish Trend,5
435,436,LONG,24747.3,25933.236193476834,TP,4.7122,Bullish Trend,1
436,437,LONG,25911.3,24813.92859891163,SL,-4.3151,Bullish Trend,1
437,452,LONG,25065.5,26592.924039273395,TP,6.0137,Bullish Trend,15
452,455,LONG,26046.9,27346.766277820232,TP,4.9105,Bullish Trend,3
455,466,LONG,26830.0,28177.545257788282,TP,4.9425,Bullish Trend,11
466,483,LONG,27534.3,28757.74604207784,TP,4.3634,Bullish Trend,17
483,484,LONG,28113.5,27269.691360333498,SL,-3.0814,Bullish Trend,1
484,485,LONG,28586.2,27731.124120309676,SL,-3.0712,Bullish Trend,1
485,488,SHORT,26654.1,27690.349031141013,SL,-3.9678,Bearish Trend,3
488,489,SHORT,27616.4,28603.238145560063,SL,-3.6534,Bearish Trend,1
489,490,SHORT,27573.4,28523.499706591487,SL,-3.5257,Bearish Trend,1
490,497,SHORT,28574.5,27259.03334328796,TP,4.5236,Bearish Trend,7
497,513,SHORT,27811.3,26573.969473817342,TP,4.369,Bearish Trend,16
513,514,SHORT,27879.9,27031.085923916355,TP,2.9645,Bearish Trend,1
514,523,SHORT,26887.3,27666.85039620677,SL,-2.9793,Bearish Trend,9
523,524,SHORT,27354.1,28064.54227529547,SL,-2.6772,Bearish Trend,1
524,528,SHORT,28077.7,28831.360684202937,SL,-2.7642,Bearish Trend,4
528,537,SHORT,28338.5,27916.0,REGIME_FLIP,1.4109,Bearish Trend,9
589,593,LONG,28012.0,28474.836247029176,TP,1.5723,Bullish Trend,4
593,598,LONG,28132.4,28602.04818610476,TP,1.5894,Bullish Trend,5
598,599,LONG,28427.7,28908.2293421331,TP,1.6104,Bullish Trend,1
599,600,LONG,29164.9,29736.804317695023,TP,1.8809,Bullish Trend,1
600,603,LONG,29623.1,30259.724009288235,TP,2.0691,Bullish Trend,3
603,618,LONG,30045.0,30736.093243952717,TP,2.2202,Bullish Trend,15
618,619,LONG,30362.7,31041.86625860717,TP,2.1568,Bullish Trend,1
619,621,LONG,30684.6,30113.687791275894,SL,-1.9406,Bullish Trend,2
621,622,LONG,30790.0,30240.16370778381,SL,-1.8658,Bullish Trend,1
622,638,LONG,30226.7,29634.71987151354,SL,-2.0385,Bullish Trend,16
638,639,LONG,29831.1,29400.550366432308,SL,-1.5233,Bullish Trend,1
639,642,LONG,29558.1,29090.825340258572,SL,-1.6609,Bullish Trend,3
642,644,LONG,29420.0,29986.37632638098,TP,1.8451,Bullish Trend,2
644,645,LONG,29756.8,30345.221919175438,TP,1.8974,Bullish Trend,1
645,650,LONG,30369.7,29861.077157070256,SL,-1.7548,Bullish Trend,5
650,651,LONG,30064.8,29553.94865956165,SL,-1.7792,Bullish Trend,1
651,653,LONG,29299.9,28689.77732673582,SL,-2.1623,Bullish Trend,2
653,654,LONG,29210.6,28602.531470501803,SL,-2.1617,Bullish Trend,1
654,658,LONG,28795.1,28149.850651180244,SL,-2.3208,Bullish Trend,4
658,661,LONG,28492.3,27841.914065711135,SL,-2.3627,Bullish Trend,3
661,664,LONG,28309.1,27659.228827393352,SL,-2.3756,Bullish Trend,3
664,665,LONG,28032.8,27394.296495547813,SL,-2.3577,Bullish Trend,1
665,689,LONG,27273.6,28141.93310020906,TP,3.1038,Bullish Trend,24
689,690,LONG,27596.1,28300.47074339308,TP,2.4724,Bullish Trend,1
690,692,LONG,28286.7,29046.571547436437,TP,2.6063,Bullish Trend,2
692,693,LONG,28365.0,29091.089650595703,TP,2.4798,Bullish Trend,1
693,694,LONG,28940.7,28321.032060218586,SL,-2.2212,Bullish Trend,1
694,695,LONG,29803.0,29108.92262734583,SL,-2.4089,Bullish Trend,1
695,696,SHORT,27871.9,28757.986131750302,SL,-3.2591,Bearish Trend,1
696,699,SHORT,28395.9,29382.52640805385,SL,-3.5545,Bearish Trend,3
699,709,SHORT,28921.2,29328.8,REGIME_FLIP,-1.4893,Bearish Trend,10
760,762,SHORT,28933.1,28208.87402241081,TP,2.4231,Bearish Trend,2
762,764,SHORT,28419.4,27683.567738711365,TP,2.5092,Bearish Trend,2
764,778,SHORT,27957.8,27184.419315521533,TP,2.6862,Bearish Trend,14
778,779,SHORT,28141.2,27428.38514647915,TP,2.453,Bearish Trend,1
779,784,SHORT,27683.6,26802.54149315921,TP,3.1026,Bearish Trend,5
784,787,SHORT,27166.3,26302.909427551695,TP,3.0982,Bearish Trend,3
787,804,SHORT,26574.8,27259.81339536447,SL,-2.6577,Bearish Trend,17
804,805,SHORT,26901.9,27390.54880837103,SL,-1.8964,Bearish Trend,1
805,811,SHORT,27216.3,27118.7,REGIME_FLIP,0.2786,Bearish Trend,6
913,933,SHORT,26985.1,26340.18109444266,TP,2.3099,Bearish Trend,20
933,934,SHORT,26760.1,26311.356799523368,TP,1.5969,Bearish Trend,1
934,939,SHORT,25991.9,25461.9583852717,TP,1.9589,Bearish Trend,5
939,940,SHORT,25676.0,26101.48101226706,SL,-1.7371,Bearish Trend,1
940,941,SHORT,26051.2,26533.868082819416,SL,-1.9328,Bearish Trend,1
941,944,SHORT,27073.2,26348.138843101286,TP,2.5982,Bearish Trend,3
944,961,SHORT,26786.7,26034.291867089476,TP,2.7289,Bearish Trend,17
961,962,SHORT,26312.6,25724.605145516784,TP,2.1547,Bearish Trend,1
962,964,SHORT,25637.2,25620.0,REGIME_FLIP,-0.0129,Bearish Trend,2
964,980,LONG,25620.0,26239.970438884702,TP,2.3399,Bullish Trend,16
980,989,LONG,26060.2,25613.079092437925,SL,-1.7957,Bullish Trend,9
989,990,LONG,25860.5,25447.83342215512,SL,-1.6757,Bullish Trend,1
990,995,LONG,25115.9,25743.993396078513,TP,2.4208,Bullish Trend,5
995,1000,LONG,25443.0,26052.823688452314,TP,2.3168,Bullish Trend,5
1000,1003,LONG,25832.4,26467.077780836345,TP,2.3769,Bullish Trend,3
1003,1018,LONG,26253.4,26899.233142674,TP,2.38,Bullish Trend,15
1018,1020,LONG,26431.1,26915.094088707967,TP,1.7512,Bullish Trend,2
1020,1024,LONG,26828.5,27373.316397916566,TP,1.9507,Bullish Trend,4
1024,1025,LONG,27054.2,27628.48303779402,TP,2.0427,Bullish Trend,1
1025,1026,LONG,27973.8,28663.89232080873,TP,2.3869,Bullish Trend,1
1026,1028,LONG,28290.6,29004.597012179536,TP,2.4438,Bullish Trend,2
1028,1029,LONG,28860.4,29627.37142376705,TP,2.5775,Bullish Trend,1
1029,1030,LONG,28913.5,29685.16875064083,TP,2.5889,Bullish Trend,1
1030,1041,LONG,29837.0,30710.163054166485,TP,2.8464,Bullish Trend,11
1041,1042,LONG,30125.3,30978.741834065368,TP,2.753,Bullish Trend,1
1042,1044,LONG,31232.9,30432.63555312643,SL,-2.6422,Bullish Trend,2
1044,1066,LONG,30673.4,30487.4,REGIME_FLIP,-0.6864,Bullish Trend,22
1117,1118,LONG,30477.7,31028.4164102407,TP,1.7269,Bullish Trend,1
1118,1119,LONG,30792.3,30340.778949369098,SL,-1.5463,Bullish Trend,1
1119,1120,LONG,30833.0,30319.23045298559,SL,-1.7463,Bullish Trend,1
1120,1122,LONG,30390.3,29805.935420629477,SL,-2.0029,Bullish Trend,2
1122,1144,LONG,29874.4,30618.189339444692,TP,2.4097,Bullish Trend,22
1144,1145,LONG,30297.6,30763.32832889671,TP,1.4572,Bullish Trend,1
1145,1146,LONG,30824.5,30416.294031992216,SL,-1.4043,Bullish Trend,1
1146,1161,LONG,30396.9,31001.400982569106,TP,1.9087,Bullish Trend,15
1161,1162,LONG,30530.6,31067.556306021314,TP,1.6787,Bullish Trend,1
1162,1163,LONG,30915.4,31516.45378416265,TP,1.8642,Bullish Trend,1
1163,1168,LONG,31600.6,31034.432245231605,SL,-1.8716,Bullish Trend,5
1168,1169,SHORT,31236.5,30523.690308832,TP,2.202,Bearish Trend,1
1169,1219,SHORT,30099.9,29832.5,REGIME_FLIP,0.8084,Bearish Trend,50
1321,1323,SHORT,29710.0,30077.39153725614,SL,-1.3166,Bearish Trend,2
1323,1324,SHORT,29877.1,29432.24626559529,TP,1.4089,Bearish Trend,1
1324,1336,SHORT,29749.4,29270.61703233849,TP,1.5294,Bearish Trend,12
1336,1366,SHORT,29383.0,28994.920562980617,TP,1.2408,Bearish Trend,30
1366,1367,SHORT,29098.0,28804.25862957837,TP,0.9295,Bearish Trend,1
1367,1368,SHORT,29105.5,28793.644156037055,TP,0.9915,Bearish Trend,1
1368,1371,SHORT,28714.4,28367.13407346298,TP,1.1294,Bearish Trend,3
1371,1372,SHORT,28540.0,28170.700355830235,TP,1.214,Bearish Trend,1
1372,1373,SHORT,27920.9,27481.548401842363,TP,1.4936,Bearish Trend,1
1373,1374,SHORT,27889.4,27430.400658853625,TP,1.5658,Bearish Trend,1
1374,1378,SHORT,26609.7,25733.288326078364,TP,3.2136,Bearish Trend,4
1378,1408,SHORT,25993.1,26679.540334505873,SL,-2.7209,Bearish Trend,30
1408,1409,SHORT,26134.3,26550.353933450933,SL,-1.672,Bearish Trend,1
1492,1498,LONG,25576.3,25939.074612721142,TP,1.3384,Bullish Trend,6
1498,1499,LONG,25766.7,26144.30209370643,TP,1.3855,Bullish Trend,1
1499,1500,LONG,25867.1,26246.31001558454,TP,1.386,Bullish Trend,1
1500,1502,LONG,26240.7,25896.126122301645,SL,-1.3931,Bullish Trend,2
1502,1503,LONG,26244.1,25899.312064637637,SL,-1.3938,Bullish Trend,1
1503,1521,LONG,25828.9,25441.464774306383,SL,-1.58,Bullish Trend,18
1521,1522,LONG,25591.9,25305.39124277029,SL,-1.1995,Bullish Trend,1
1522,1524,LONG,25102.5,25550.399745958763,TP,1.7043,Bullish Trend,2
1524,1525,LONG,25150.4,25613.36412789302,TP,1.7608,Bullish Trend,1
1525,1526,LONG,25788.2,26330.496261614942,TP,2.0229,Bullish Trend,1
1526,1527,LONG,25810.2,26366.248814356735,TP,2.0744,Bullish Trend,1
1527,1539,LONG,26087.2,26686.002541902682,TP,2.2154,Bullish Trend,12
1539,1540,LONG,26431.5,26679.9,REGIME_FLIP,0.8598,Bullish Trend,1
1636,1643,LONG,26986.2,27424.757810598698,TP,1.5451,Bullish Trend,7
1643,1644,LONG,27091.1,27457.143472864365,TP,1.2712,Bullish Trend,1
1644,1647,LONG,27981.4,28503.574510516915,TP,1.7861,Bullish Trend,3
1647,1648,LONG,28183.2,27725.960021979947,SL,-1.7024,Bullish Trend,1
1648,1649,LONG,28015.0,27521.634306124233,SL,-1.8411,Bullish Trend,1
1649,1650,LONG,27955.3,27443.56042711536,SL,-1.9106,Bullish Trend,1
1650,1673,LONG,27477.6,28170.889300275026,TP,2.4431,Bullish Trend,23
1673,1684,LONG,27939.1,27883.5,REGIME_FLIP,-0.279,Bullish Trend,11
1732,1741,LONG,28054.0,28889.65669160603,TP,2.8987,Bullish Trend,9
1741,1752,LONG,28498.0,29240.26788420668,TP,2.5246,Bullish Trend,11
1752,1753,LONG,28696.9,29366.04379176063,TP,2.2518,Bullish Trend,1
1753,1754,LONG,29222.8,29957.547806634866,TP,2.4343,Bullish Trend,1
1754,1761,LONG,29228.5,29950.64482044666,TP,2.3907,Bullish Trend,7
1761,1770,LONG,29794.7,30510.314794585287,TP,2.3218,Bullish Trend,9
1770,1771,LONG,29981.5,30643.779918583627,TP,2.129,Bullish Trend,1
1771,1775,LONG,30724.0,31467.03521011337,TP,2.3384,Bullish Trend,4
1775,1776,LONG,31339.9,32224.56604795002,TP,2.7428,Bullish Trend,1
1776,1777,LONG,33074.0,34527.23511595359,TP,4.3139,Bullish Trend,1
1777,1830,LONG,34071.1,35753.51010767119,TP,4.8579,Bullish Trend,53
1830,1833,LONG,35437.4,34718.25140513291,SL,-2.1093,Bullish Trend,3
1833,1834,LONG,35377.5,34646.28182838083,SL,-2.1469,Bullish Trend,1
1834,1865,LONG,34645.2,35626.93676079442,TP,2.7537,Bullish Trend,31
1865,1872,LONG,35473.4,36287.37800527789,TP,2.2146,Bullish Trend,7
1920,1937,LONG,36176.0,37411.00859138797,TP,3.3339,Bullish Trend,17
1937,1947,LONG,36961.9,36304.88204928844,SL,-1.8576,Bullish Trend,10
1947,1949,LONG,37189.5,36510.11183049128,SL,-1.9068,Bullish Trend,2
1949,1950,LONG,36989.9,36201.52831302564,SL,-2.2113,Bullish Trend,1
1950,1954,LONG,35737.0,36857.84487376,TP,3.0564,Bullish Trend,4
1954,1955,LONG,36480.5,37530.97983757964,TP,2.7996,Bullish Trend,1
1955,1965,LONG,37297.0,38417.81356346681,TP,2.9251,Bullish Trend,10
1965,1982,LONG,37749.7,36992.149046237275,SL,-2.0868,Bullish Trend,17
1982,1984,LONG,37272.1,36723.15035979186,SL,-1.5528,Bullish Trend,2
1984,1989,LONG,36743.2,37468.14157339755,TP,1.893,Bullish Trend,5
1989,1990,LONG,37250.1,37959.8234872328,TP,1.8253,Bullish Trend,1
1990,1991,LONG,37502.2,38219.08995243046,TP,1.8316,Bullish Trend,1
1991,2001,LONG,38105.0,37481.011883129475,SL,-1.7175,Bullish Trend,10
2001,2006,LONG,37867.1,38662.01081283973,TP,2.0192,Bullish Trend,5
2006,2014,LONG,38234.9,38997.33724936169,TP,1.9141,Bullish Trend,8
2014,2015,LONG,38787.0,39456.61473208079,TP,1.6464,Bullish Trend,1
2015,2021,LONG,39416.4,40201.791608360734,TP,1.9126,Bullish Trend,6
2021,2022,LONG,39555.1,40282.016106336174,TP,1.7577,Bullish Trend,1
2022,2023,LONG,39979.7,40771.968027312156,TP,1.9017,Bullish Trend,1
2023,2024,LONG,40720.7,41583.93895393272,TP,2.0399,Bullish Trend,1
2024,2027,LONG,41471.9,42421.77652865181,TP,2.2104,Bullish Trend,3
2027,2032,LONG,42001.0,43081.99413864724,TP,2.4937,Bullish Trend,5
2032,2033,LONG,42266.7,43343.05907580686,TP,2.4666,Bullish Trend,1
2033,2042,LONG,43834.0,42819.30056771603,SL,-2.3949,Bullish Trend,9
2042,2043,LONG,43899.4,42993.03733197962,SL,-2.1446,Bullish Trend,1
2043,2051,LONG,43206.4,44414.871821583845,TP,2.717,Bullish Trend,8
2051,2064,LONG,43967.6,43078.021972769704,SL,-2.1033,Bullish Trend,13
2064,2065,LONG,43810.0,43127.88364049962,SL,-1.637,Bullish Trend,1
2127,2147,SHORT,43969.7,42769.998421489545,TP,2.6485,Bearish Trend,20
2147,2148,SHORT,43645.3,42810.39179951715,TP,1.8329,Bearish Trend,1
