side,entry,sl,tp,initial_sl,entry_time,entry_idx,entry_atr,risk_usd,tp_extension_factor,trail_count,master_score,gate,regime,fgi,exit_time,exit_price,pnl_usd,equity,exit_type,holding_duration
SHORT,27221.5,27026.453816332516,26051.222897995092,27806.638551002452,2023-06-06T20:00:00+00:00,1203,390.0923673349691,200.0,1.5,2,-5,LEVEL6,bear,44.0,2023-06-10T04:00:00+00:00,26051.22,399.84,10399.84,TP,19
SHORT,29411.8,29411.8,28892.462677083455,29671.46866145827,2023-07-31T00:00:00+00:00,1528,173.1124409721815,207.99680000000004,1.5,1,-5,LEVEL6,bear,50.0,2023-08-01T00:00:00+00:00,28892.46,415.83,10815.67,TP,5
SHORT,25993.1,26679.540334505873,24620.21933098825,26679.540334505873,2023-08-18T12:00:00+00:00,1639,457.62688967058295,216.31334405120003,1.5,0,-6,LEVEL6,bear,37.0,2023-08-22T12:00:00+00:00,25923.0,21.92,10837.58,TIME_EXIT,24
SHORT,26044.4,26473.095299795215,25187.009400409574,26473.095299795215,2023-08-22T20:00:00+00:00,1665,285.79686653014255,216.7516859054974,1.5,0,-5,LEVEL6,bear,37.0,2023-08-23T16:00:00+00:00,26473.1,-216.93,10620.66,SL,4
SHORT,26134.3,26550.353933450933,25302.19213309813,26550.353933450933,2023-08-23T12:00:00+00:00,1669,277.3692889672897,212.41318416041298,1.5,0,-5,LEVEL6,bear,37.0,2023-08-23T20:00:00+00:00,26550.35,-212.58,10408.08,SL,1
SHORT,26087.7,26498.019431801466,25540.607424264712,26498.019431801466,2023-08-25T08:00:00+00:00,1680,273.546287867644,208.16152186625817,1.0,0,-5,LEVEL6,neutral,39.0,2023-08-29T08:00:00+00:00,25962.2,63.5,10471.58,TIME_EXIT,24
SHORT,25798.0,26325.054191717725,24919.576347137125,26325.054191717725,2023-09-01T12:00:00+00:00,1723,351.36946114515007,209.43155388525952,1.25,0,-6,LEVEL6,bear,40.0,2023-09-05T12:00:00+00:00,25747.9,19.74,10491.32,TIME_EXIT,24
SHORT,25747.4,26082.284003684294,25077.631992631414,26082.284003684294,2023-09-06T20:00:00+00:00,1755,223.25600245619552,209.82636017237246,1.5,0,-6,LEVEL6,bear,42.0,2023-09-07T20:00:00+00:00,26082.28,-209.99,10281.32,SL,5
SHORT,25867.1,26168.060329829,25265.179340341998,26168.060329829,2023-09-07T16:00:00+00:00,1760,200.64021988600038,205.62647574716223,1.5,0,-6,LEVEL6,bear,41.0,2023-09-08T00:00:00+00:00,26168.06,-205.79,10075.53,SL,1
SHORT,25828.9,26216.33522569362,25054.02954861276,26216.33522569362,2023-09-08T08:00:00+00:00,1764,258.2901504624133,201.51065620860703,1.5,0,-5,LEVEL6,bear,46.0,2023-09-11T12:00:00+00:00,25054.03,402.86,10478.39,TP,18
SHORT,25788.2,26218.59385842456,24927.412283150883,26218.59385842456,2023-09-12T00:00:00+00:00,1786,286.9292389497054,209.56785828645204,1.5,0,-5,LEVEL6,bear,30.0,2023-09-12T08:00:00+00:00,26218.59,-209.74,10268.66,SL,1
SHORT,25810.2,26251.508582822804,24927.582834354394,26251.508582822804,2023-09-12T04:00:00+00:00,1787,294.2057218818693,205.3731480349904,1.5,0,-6,LEVEL6,bear,30.0,2023-09-12T12:00:00+00:00,26251.51,-205.54,10063.12,SL,1
SHORT,26087.2,26562.440112621174,25136.71977475765,26562.440112621174,2023-09-12T08:00:00+00:00,1788,316.8267417474501,201.26239910392204,1.5,0,-7,LEVEL6,bear,30.0,2023-09-12T16:00:00+00:00,26562.44,-201.42,9861.7,SL,1
SHORT,26386.9,26829.22686471203,25797.13084705063,26829.22686471203,2023-09-15T16:00:00+00:00,1808,294.88457647468607,197.23393092345793,1.0,0,-5,LEVEL6,neutral,45.0,2023-09-18T08:00:00+00:00,26829.23,-197.39,9664.3,SL,15
SHORT,64839.8,67709.18058845564,59101.03882308873,67709.18058845564,2024-04-19T08:00:00+00:00,3108,1912.9203923037567,193.286096562094,1.5,0,-5,LEVEL6,bear,66.0,2024-04-23T08:00:00+00:00,66023.5,-79.89,9584.41,TIME_EXIT,24
SHORT,62031.9,64011.64079720549,58072.41840558904,64011.64079720549,2024-05-03T16:00:00+00:00,3194,1319.8271981369896,191.68828522593572,1.5,0,-5,LEVEL6,bear,48.0,2024-05-04T08:00:00+00:00,64011.64,-191.84,9392.57,SL,3
SHORT,63864.2,63864.2,61506.88640595684,65632.18519553237,2024-05-04T20:00:00+00:00,3201,1178.6567970215788,187.8514525088534,1.0,1,-5,LEVEL6,neutral,67.0,2024-05-08T20:00:00+00:00,61506.89,250.32,9642.89,TP,23
SHORT,66150.0,65768.572883611,63861.43730166602,67294.281349167,2024-06-20T08:00:00+00:00,3480,762.8542327779949,192.85781895251603,1.5,2,-5,LEVEL6,bear,60.0,2024-06-21T08:00:00+00:00,63861.44,385.56,10028.45,TP,5
SHORT,62016.8,62912.6239060693,60225.152187861415,62912.6239060693,2024-06-30T16:00:00+00:00,3542,597.2159373795291,200.5690459855134,1.5,0,-5,LEVEL6,bear,47.0,2024-07-01T00:00:00+00:00,62912.62,-200.73,9827.72,SL,1
SHORT,63207.6,64224.49701096195,61851.737318717394,64224.49701096195,2024-07-01T16:00:00+00:00,3548,677.9313406413021,196.55445596106736,1.0,0,-5,LEVEL6,neutral,53.0,2024-07-02T12:00:00+00:00,61851.74,261.92,10089.64,TP,4
SHORT,57045.9,57045.9,53663.44827785343,58737.125861073284,2024-07-04T20:00:00+00:00,3567,1127.4839073821895,201.79276324873376,1.5,1,-6,LEVEL6,bear,44.0,2024-07-05T04:00:00+00:00,53663.45,403.42,10493.06,TP,1
SHORT,56713.2,58453.99762282468,53231.60475435063,58453.99762282468,2024-07-06T08:00:00+00:00,3576,1160.5317485497885,209.86124509447117,1.5,0,-5,LEVEL6,bear,26.0,2024-07-06T20:00:00+00:00,58454.0,-210.03,10283.03,SL,2
SHORT,57834.8,57834.8,54443.508691251314,59530.44565437434,2024-07-06T16:00:00+00:00,3578,1130.430436249563,205.66066241266026,1.5,1,-5,LEVEL6,bear,26.0,2024-07-08T00:00:00+00:00,54443.51,411.16,10694.19,TP,7
SHORT,55828.4,57449.63080005943,52585.93839988114,57449.63080005943,2024-07-08T04:00:00+00:00,3587,1080.8205333729534,213.88379833856806,1.5,0,-5,LEVEL6,bear,28.0,2024-07-08T12:00:00+00:00,57449.63,-214.05,10480.14,SL,1
SHORT,57137.3,57137.3,53593.98565703249,58908.95717148376,2024-07-08T08:00:00+00:00,3588,1181.104780989171,209.60270023102328,1.5,1,-5,LEVEL6,bear,28.0,2024-07-09T00:00:00+00:00,57137.3,-0.17,10479.97,TRAIL_SL,3
SHORT,56686.4,58555.84579291174,52947.508414176526,58555.84579291174,2024-07-08T20:00:00+00:00,3591,1246.297195274493,209.59934658781958,1.5,0,-6,LEVEL6,bear,28.0,2024-07-10T04:00:00+00:00,58555.85,-209.77,10270.2,SL,7
SHORT,58157.7,58157.7,54825.15673223801,59823.971633880996,2024-07-10T00:00:00+00:00,3598,1110.8477559206633,205.40400606651775,1.5,1,-6,LEVEL6,bear,28.0,2024-07-12T12:00:00+00:00,58157.7,-0.16,10270.04,TRAIL_SL,14
SHORT,57188.8,58705.84192851317,54154.71614297367,58705.84192851317,2024-07-12T08:00:00+00:00,3612,1011.361285675443,205.40071960242068,1.5,0,-5,LEVEL6,bear,25.0,2024-07-13T08:00:00+00:00,58705.84,-205.57,10064.47,SL,5
SHORT,59070.0,60921.09808557245,55367.8038288551,60921.09808557245,2024-08-04T12:00:00+00:00,3751,1234.0653903816333,201.28941879885863,1.5,0,-5,LEVEL6,bear,34.0,2024-08-05T00:00:00+00:00,55367.8,402.42,10466.89,TP,2
SHORT,58144.5,56135.37818131763,54126.256362635264,60153.62181868237,2024-08-04T20:00:00+00:00,3753,1339.4145457882448,209.33777492011222,1.5,1,-5,LEVEL6,bear,34.0,2024-08-05T04:00:00+00:00,54126.26,418.51,10885.4,TP,1
SHORT,53450.4,56910.38282890691,46530.43434218617,56910.38282890691,2024-08-05T16:00:00+00:00,3758,2306.655219271276,217.707936512518,1.5,0,-5,LEVEL6,bear,26.0,2024-08-06T16:00:00+00:00,56910.38,-217.88,10667.51,SL,5
SHORT,55102.9,57709.56346693328,49889.573066133446,57709.56346693328,2024-08-07T20:00:00+00:00,3771,1737.775644622186,213.35029445528343,1.5,0,-5,LEVEL6,bear,29.0,2024-08-08T12:00:00+00:00,57709.56,-213.52,10453.99,SL,3
SHORT,57292.3,59809.52198864884,52257.856022702326,59809.52198864884,2024-08-08T08:00:00+00:00,3774,1678.1479924325595,209.0798749614665,1.5,0,-6,LEVEL6,bear,20.0,2024-08-08T16:00:00+00:00,59809.52,-209.25,10244.75,SL,1
SHORT,58423.4,60429.1998168546,54411.800366290816,60429.1998168546,2024-08-16T04:00:00+00:00,3821,1337.1998779030628,204.89493218423777,1.5,0,-6,LEVEL6,bear,27.0,2024-08-20T00:00:00+00:00,60429.2,-205.06,10039.69,SL,22
SHORT,59398.5,60698.97575443372,56797.54849113256,60698.97575443372,2024-08-19T20:00:00+00:00,3843,866.9838362891468,200.79375522163807,1.5,0,-5,LEVEL6,bear,28.0,2024-08-20T04:00:00+00:00,60698.98,-200.95,9838.73,SL,1
SHORT,59237.0,59237.0,55782.28608349662,60964.35695825169,2024-08-29T16:00:00+00:00,3902,1151.5713055011258,196.77466741712175,1.5,1,-5,LEVEL6,bear,29.0,2024-08-30T16:00:00+00:00,59237.0,-0.16,9838.58,TRAIL_SL,5
SHORT,58073.1,59733.58290844243,54752.13418311513,59733.58290844243,2024-08-30T12:00:00+00:00,3907,1106.9886056282905,196.77151902244307,1.5,0,-6,LEVEL6,bear,34.0,2024-09-03T00:00:00+00:00,59733.58,-196.93,9641.65,SL,20
SHORT,59112.1,59112.1,56535.38696515649,60400.45651742176,2024-09-02T20:00:00+00:00,3927,858.9043449478365,192.83294029768987,1.5,1,-5,LEVEL6,bear,26.0,2024-09-04T00:00:00+00:00,56535.39,385.51,10027.16,TP,6
SHORT,56536.2,57911.01538019285,53786.56923961429,57911.01538019285,2024-09-04T08:00:00+00:00,3936,916.5435867952352,200.54317258255264,1.5,0,-6,LEVEL6,bear,27.0,2024-09-04T16:00:00+00:00,57911.02,-200.7,9826.46,SL,1
SHORT,58096.2,57599.81547755935,55117.89286535613,59585.35356732193,2024-09-04T12:00:00+00:00,3937,992.7690448812897,196.5291004401403,1.5,2,-5,LEVEL6,bear,27.0,2024-09-06T12:00:00+00:00,55117.89,392.9,10219.36,TP,11
SHORT,53927.7,55656.87419737941,50469.35160524118,55656.87419737941,2024-09-06T20:00:00+00:00,3951,1152.7827982529402,204.38711999213888,1.5,0,-5,LEVEL6,bear,22.0,2024-09-09T12:00:00+00:00,55656.87,-204.55,10014.81,SL,15
SHORT,55236.8,56467.24932317005,52775.90135365991,56467.24932317005,2024-09-09T08:00:00+00:00,3966,820.2995487800301,200.29610739837622,1.5,0,-5,LEVEL6,bear,26.0,2024-09-09T16:00:00+00:00,56467.25,-200.46,9814.35,SL,1
SHORT,55360.3,56612.13508580076,52856.62982839849,56612.13508580076,2024-09-09T12:00:00+00:00,3967,834.5567238671711,196.28698051269032,1.5,0,-5,LEVEL6,bear,26.0,2024-09-09T20:00:00+00:00,56612.14,-196.44,9617.91,SL,1
SHORT,56500.1,57867.76212955695,53764.77574088611,57867.76212955695,2024-09-10T00:00:00+00:00,3970,911.7747530379642,192.3581003107483,1.5,0,-6,LEVEL6,bear,33.0,2024-09-10T16:00:00+00:00,57867.76,-192.51,9425.39,SL,3
SHORT,56561.0,57893.13083040693,53896.738339186144,57893.13083040693,2024-09-10T12:00:00+00:00,3973,888.0872202712856,188.50786057492837,1.5,0,-6,LEVEL6,bear,33.0,2024-09-10T20:00:00+00:00,57893.13,-188.66,9236.73,SL,1
SHORT,57923.6,57923.6,55126.45702924427,59322.17148537786,2024-09-10T16:00:00+00:00,3974,932.3809902519077,184.7346872376606,1.5,1,-5,LEVEL6,bear,33.0,2024-09-11T16:00:00+00:00,57923.6,-0.15,9236.59,TRAIL_SL,5
SHORT,56676.1,58073.24137481853,53881.81725036293,58073.24137481853,2024-09-11T12:00:00+00:00,3979,931.4275832123552,184.7317314826648,1.5,0,-5,LEVEL6,bear,37.0,2024-09-12T00:00:00+00:00,58073.24,-184.88,9051.71,SL,2
SHORT,57306.0,58694.74332828741,54528.513343425184,58694.74332828741,2024-09-11T20:00:00+00:00,3981,925.8288855249391,181.03414114530776,1.5,0,-5,LEVEL6,bear,37.0,2024-09-13T12:00:00+00:00,58694.74,-181.18,8870.53,SL,9
SHORT,57852.6,59067.253834951916,55423.29233009617,59067.253834951916,2024-09-13T08:00:00+00:00,3990,809.7692233012764,177.4105617761433,1.5,0,-5,LEVEL6,bear,32.0,2024-09-13T16:00:00+00:00,59067.25,-177.55,8692.98,SL,1
SHORT,97019.1,98881.33507317862,94536.11990242853,98881.33507317862,2025-01-03T00:00:00+00:00,4660,1241.4900487857412,173.85951197163203,1.0,0,-5,LEVEL6,neutral,74.0,2025-01-03T16:00:00+00:00,98881.34,-174.0,8518.98,SL,3
SHORT,97569.4,97569.4,95316.05580238542,99259.40814821093,2025-02-15T08:00:00+00:00,4920,1126.672098807288,170.37953998000782,1.0,1,-5,LEVEL6,neutral,50.0,2025-02-17T16:00:00+00:00,95316.06,227.04,8746.01,TP,13
SHORT,83832.0,86680.08454746507,78135.83090506984,86680.08454746507,2025-02-26T16:00:00+00:00,4988,1898.7230316433834,174.920268306835,1.5,0,-6,LEVEL6,bear,21.0,2025-02-27T04:00:00+00:00,86680.08,-175.06,8570.95,SL,2
SHORT,84084.0,83117.5949097897,78285.56945873813,86983.21527063093,2025-02-27T16:00:00+00:00,4994,1932.810180420623,171.4190642164054,1.5,2,-5,LEVEL6,bear,10.0,2025-02-28T08:00:00+00:00,78285.57,342.7,8913.65,TP,3
SHORT,84393.3,87908.0660094485,77363.767981103,87908.0660094485,2025-02-28T16:00:00+00:00,5000,2343.1773396323347,178.27308408003418,1.5,0,-5,LEVEL6,bear,16.0,2025-03-02T12:00:00+00:00,87908.07,-178.42,8735.24,SL,10
SHORT,92660.0,92660.0,86196.40975440198,95891.79512279901,2025-03-03T00:00:00+00:00,5014,2154.5300818660103,174.70477002908822,1.5,1,-5,LEVEL6,bear,33.0,2025-03-03T16:00:00+00:00,86196.41,349.27,9084.51,TP,3
SHORT,82945.0,86764.42452819903,75306.15094360194,86764.42452819903,2025-03-04T12:00:00+00:00,5023,2546.2830187993554,181.6901655539313,1.5,0,-5,LEVEL6,bear,15.0,2025-03-04T20:00:00+00:00,86764.42,-181.84,8902.67,SL,1
SHORT,82277.6,82277.6,78460.10454129596,85140.72159402804,2025-03-10T04:00:00+00:00,5057,1908.7477293520221,178.05345520020379,1.0,1,-5,LEVEL6,neutral,20.0,2025-03-10T16:00:00+00:00,78460.1,237.26,9139.93,TP,2
SHORT,80009.7,83260.3642826058,75675.4809565256,83260.3642826058,2025-03-10T12:00:00+00:00,5059,2167.109521737202,182.7986984835927,1.0,0,-6,LEVEL6,neutral,20.0,2025-03-11T16:00:00+00:00,83260.36,-182.94,8956.99,SL,6
SHORT,83060.1,83060.1,78516.20274746795,86468.02293939906,2025-03-11T16:00:00+00:00,5066,2271.9486262660307,179.13979973474508,1.0,1,-5,LEVEL6,neutral,24.0,2025-03-14T08:00:00+00:00,83060.1,-0.14,8956.85,TRAIL_SL,15
SHORT,82124.5,84716.37168781526,78668.67108291299,84716.37168781526,2025-03-14T04:00:00+00:00,5081,1727.9144585435085,179.13693349794931,1.0,0,-6,LEVEL6,neutral,27.0,2025-03-14T12:00:00+00:00,84716.37,-179.28,8777.57,SL,1
SHORT,83202.8,85739.05228154275,78130.29543691452,85739.05228154275,2025-03-14T08:00:00+00:00,5082,1690.8348543618297,175.55132863705435,1.5,0,-5,LEVEL6,bear,27.0,2025-03-18T08:00:00+00:00,82550.0,45.04,8822.61,TIME_EXIT,24
SHORT,82273.4,84144.62271243599,78530.95457512801,84144.62271243599,2025-03-18T16:00:00+00:00,5108,1247.4818082906595,176.4522146742947,1.5,0,-5,LEVEL6,bear,34.0,2025-03-19T12:00:00+00:00,84144.62,-176.59,8646.02,SL,4
SHORT,83848.4,85544.83352483038,80455.53295033921,85544.83352483038,2025-03-19T08:00:00+00:00,5112,1130.955683220259,172.92034714537405,1.5,0,-5,LEVEL6,bear,32.0,2025-03-19T16:00:00+00:00,85544.83,-173.06,8472.96,SL,1
SHORT,84214.1,85866.44548963418,82010.97268048777,85866.44548963418,2025-03-22T00:00:00+00:00,5128,1101.5636597561174,169.4591734769122,1.0,0,-5,LEVEL6,neutral,32.0,2025-03-23T20:00:00+00:00,85866.45,-169.59,8303.36,SL,10
SHORT,82604.7,82604.7,80623.34552947457,84090.71585289408,2025-03-29T20:00:00+00:00,5175,990.6772352627189,166.06727866059836,1.0,1,-5,LEVEL6,neutral,26.0,2025-03-31T12:00:00+00:00,82604.7,-0.13,8303.23,TRAIL_SL,9
SHORT,82171.5,83596.67864568894,80271.26180574809,83596.67864568894,2025-03-31T08:00:00+00:00,5184,950.1190971259547,166.0646215841398,1.0,0,-5,LEVEL6,neutral,34.0,2025-03-31T16:00:00+00:00,83596.68,-166.2,8137.03,SL,1
SHORT,83373.4,84942.70517099687,81280.9931053375,84942.70517099687,2025-03-31T12:00:00+00:00,5185,1046.203447331244,162.74067211851164,1.0,0,-5,LEVEL6,neutral,34.0,2025-04-01T12:00:00+00:00,84942.71,-162.87,7974.16,SL,5
SHORT,83879.9,85388.62362846384,81868.26849538153,85388.62362846384,2025-04-01T08:00:00+00:00,5190,1005.8157523092302,159.48325482538752,1.0,0,-6,LEVEL6,neutral,34.0,2025-04-01T16:00:00+00:00,85388.62,-159.61,7814.55,SL,1
SHORT,84509.5,86125.27465515817,82355.13379312246,86125.27465515817,2025-04-02T00:00:00+00:00,5194,1077.1831034387735,156.29103799680257,1.0,0,-6,LEVEL6,neutral,44.0,2025-04-02T12:00:00+00:00,86125.27,-156.42,7658.14,SL,2
SHORT,84528.4,86135.16743225371,82386.0434236617,86135.16743225371,2025-04-02T08:00:00+00:00,5196,1071.1782881691468,153.16271658025858,1.0,0,-6,LEVEL6,neutral,44.0,2025-04-02T16:00:00+00:00,86135.17,-153.29,7504.85,SL,1
SHORT,83449.0,85796.61881722715,80318.84157703046,85796.61881722715,2025-04-03T00:00:00+00:00,5200,1565.0792114847713,150.0970116451881,1.0,0,-6,LEVEL6,neutral,25.0,2025-04-06T16:00:00+00:00,80318.84,200.01,7704.86,TP,21
SHORT,82497.4,81947.3350511562,80297.14020462483,84147.59484653137,2025-04-06T12:00:00+00:00,5221,1100.1298976875814,154.09719707020682,1.0,1,-5,LEVEL6,neutral,34.0,2025-04-06T20:00:00+00:00,80297.14,205.34,7910.2,TP,1
SHORT,79140.0,78164.33813727155,73286.02882362928,82066.98558818536,2025-04-07T20:00:00+00:00,5229,1951.3237254569037,158.20399010359253,1.5,2,-5,LEVEL6,bear,23.0,2025-04-09T12:00:00+00:00,78164.34,52.61,7962.81,TRAIL_SL,9
SHORT,76204.1,79151.61568687882,70309.06862624236,79151.61568687882,2025-04-09T08:00:00+00:00,5238,1965.010457919216,159.25615210710816,1.5,0,-5,LEVEL6,bear,18.0,2025-04-09T16:00:00+00:00,79151.62,-159.38,7803.42,SL,1
SHORT,82291.4,82291.4,75494.18417262733,85690.00791368632,2025-04-09T16:00:00+00:00,5240,2265.738609124222,156.0684809665323,1.5,1,-6,LEVEL6,bear,18.0,2025-04-11T08:00:00+00:00,82291.4,-0.12,7803.3,TRAIL_SL,9
