Direction,Open_Time,Close_Time,Entry_Price,Exit_Price,Open_Size,Close_Size,PnL,PnL_Pct,Price_Move_Pct,Hold_Time_Min,Close_Ratio,Exit_Type,Period
Long,2026-03-10 16:05:00,2026-03-10 18:14:55,71198.2,70339.9,0.00014,0.00014,-0.120162,-1.2055080044158424,-1.2055080044158462,129.91666666666666,1.0,Full_Manual,Testing
Long,2026-03-11 04:08:47,2026-03-11 04:48:28,69498.0,70008.8,0.00101,0.00101,0.515908,0.7349851794296238,0.734985179429628,39.68333333333333,1.0,TP_Hit,5usd_15x
Long,2026-03-11 08:06:36,2026-03-11 13:14:04,69669.0,69785.8,0.00108,0.00108,0.170964,0.2272172702349682,0.16764988732435215,307.46666666666664,1.0,Full_Manual,5usd_15x
Long,2026-03-11 08:08:33,2026-03-11 13:14:04,69586.0,69785.8,0.00108,0.00108,0.170964,0.2274882878739977,0.28712672089213764,305.51666666666665,1.0,Full_Manual,5usd_15x
Long,2026-03-11 20:01:41,2026-03-12 02:18:30,70496.4,69656.1,0.00106,0.00106,-0.890718,-1.1919757604643644,-1.1919757604643477,376.81666666666666,1.0,Full_Manual,5usd_15x
Long,2026-03-12 08:05:17,2026-03-12 09:45:08,69846.1,70315.1,0.00214,0.00214,1.00366,0.6714762885830418,0.6714762885830418,99.85,1.0,TP_Hit,5usd_15x
Long,2026-03-12 12:15:20,2026-03-12 13:46:02,70309.2,69832.54000000001,0.00213,0.00213,-1.026735,-0.6855933665403755,-0.6779482628162302,90.7,1.0,Full_Manual,5usd_15x
Long,2026-03-12 20:09:09,2026-03-13 00:13:17,70400.8,70941.025,0.00106,0.00106,0.572084,0.7666132867701118,0.767356336859796,244.13333333333333,1.0,Near_TP,5usd_15x
Long,2026-03-13 04:03:27,2026-03-13 05:33:45,71346.09999999999,71507.4,0.0006000000000000001,0.0006000000000000001,0.09591028037383179,0.22404934157539044,0.22608103316089168,90.3,1.0,Full_Manual,5usd_15x
Long,2026-03-13 04:03:28,2026-03-13 05:33:45,71349.4,71507.4,0.00047000000000000004,0.00046999999999999993,0.07512971962616821,0.2240389790099421,0.2214454501369318,90.28333333333333,0.9999999999999998,Full_Manual,5usd_15x
Long,2026-03-13 08:02:32,2026-03-13 08:37:23,71519.8,72069.5,0.00105,0.00105,0.57615,0.7672201064800038,0.7685983461922391,34.85,1.0,TP_Hit,5usd_15x
Long,2026-03-13 14:13:13,2026-03-13 14:23:18,73499.5,73752.76666666666,0.00204,0.00204,0.51556,0.3438465434405383,0.34458284296718045,10.083333333333334,1.0,Near_TP,5usd_15x
Long,2026-03-13 16:02:02,2026-03-13 16:18:48,71890.7,71409.4,0.00208,0.00208,-1.001104,-0.6694885430243412,-0.6694885430243452,16.766666666666666,1.0,Full_Manual,5usd_15x
Long,2026-03-16 08:14:02,2026-03-16 13:32:15,73544.9,74016.9,0.00204,0.00204,0.96288,0.6417848144466849,0.641784814446685,318.21666666666664,1.0,Near_TP,10usd_15x
Long,2026-03-16 16:01:31,2026-03-16 16:32:11,73171.9,73476.0,0.002,0.002,0.502148717948718,0.3431294786309485,0.4155966976394023,30.666666666666668,1.0,Near_TP,10usd_15x
Long,2026-03-16 16:01:32,2026-03-16 16:32:11,73171.9,73476.0,5e-05,5e-05,0.012553717948717949,0.34312947863094845,0.4155966976394023,30.65,1.0,Near_TP,10usd_15x
Long,2026-03-16 16:07:50,2026-03-16 16:32:11,73384.875,73476.0,0.00068,0.0006799999999999997,0.17073056410256404,0.342133660341261,0.12417408900676058,24.35,0.9999999999999996,Full_Manual,10usd_15x
Long,2026-03-17 00:51:59,2026-03-17 01:10:27,74900.0,75422.6,0.001,0.001,0.49295,0.6581441922563418,0.6977303070761092,18.466666666666665,1.0,TP_Hit,10usd_15x
Long,2026-03-17 00:56:04,2026-03-17 01:10:27,74959.3,75422.6,0.001,0.001,0.49295,0.6576235370394334,0.6180687386355034,14.383333333333333,1.0,TP_Hit,10usd_15x
Long,2026-03-17 02:07:53,2026-03-17 02:44:43,75287.1,75348.7,0.00199,0.00199,0.122584,0.08182012589142096,0.08182012589140937,36.833333333333336,1.0,Full_Manual,10usd_15x
Long,2026-03-17 04:02:17,2026-03-17 04:39:29,74562.3,74057.6,0.00201,0.00201,-1.014447,-0.6768836261756948,-0.6768836261756908,37.2,1.0,Full_Manual,10usd_15x
Long,2026-03-17 07:21:35,2026-03-17 07:39:36,74319.225,74341.4,0.00101,0.00101,0.0160765,0.021417509039785152,0.029837501669303407,18.016666666666666,1.0,Full_Manual,10usd_15x
Long,2026-03-17 07:25:55,2026-03-17 07:39:36,74331.6,74341.4,0.00101,0.00101,0.0160765,0.02141394337357633,0.013184163935645619,13.683333333333334,1.0,Full_Manual,10usd_15x
Long,2026-03-17 08:00:20,2026-03-17 14:40:50,74287.1,74240.3,0.00101,0.00101,0.31894116666666666,0.4250850192473974,-0.06299882482961766,400.5,1.0,Full_Manual,10usd_15x
Long,2026-03-17 12:00:25,2026-03-17 14:40:50,74013.58,74240.3,0.00101,1.0000000000000026e-05,0.0031578333333333415,0.4266559371041548,0.30632216412177493,160.41666666666666,0.009900990099009927,Partial_0pct,10usd_15x
Long,2026-03-17 12:00:25,2026-03-17 14:40:51,74013.58,74221.2,0.001,0.001,0.29668333333333335,0.400849862056846,0.28051608907445813,160.43333333333334,1.0,Full_Manual,10usd_15x
Long,2026-03-17 14:15:54,2026-03-17 14:40:51,73701.0,74221.2,0.00102,2.0000000000000052e-05,0.005933666666666682,0.40254994278684597,0.7058248870435911,24.95,0.01960784313725495,Partial_1pct,10usd_15x
Long,2026-03-17 14:15:54,2026-03-17 14:44:00,73701.0,74196.1,0.001,0.001,0.2715836633663366,0.36849386489509856,0.6717683613519569,28.1,1.0,TP_Hit,10usd_15x
Long,2026-03-17 14:16:37,2026-03-17 14:44:00,73700.8,74196.1,0.00102,0.00102,0.27701533663366334,0.3684948648675952,0.6720415517877728,27.383333333333333,1.0,TP_Hit,10usd_15x
Short,2026-03-22 00:00:50,2026-03-22 00:02:27,68743.02857142857,68226.0,0.00109,0.00109,0.564191,0.7529584203298828,0.7521178251425801,1.6166666666666667,1.0,TP_Hit,5usd_15x_return
Short,2026-03-22 08:00:25,2026-03-22 09:18:28,68859.6,68625.7,0.00109,0.00109,0.254951,0.33967667543813784,0.33967667543815055,78.05,1.0,Near_TP,5usd_15x_return
Short,2026-03-22 12:00:35,2026-03-22 14:19:40,68216.7,68704.1,0.0011,0.0011,-0.53614,-0.7144878013741502,-0.7144878013741631,139.08333333333334,1.0,Full_Manual,5usd_15x_return
Short,2026-03-23 00:00:25,2026-03-23 07:01:10,67974.7,67735.8,0.0011,0.0011,0.26279,0.351454291081829,0.3514542910818204,420.75,1.0,Near_TP,5usd_15x_return
Short,2026-03-26 12:00:24,2026-03-26 13:42:55,69215.4,69306.48333333334,0.00108,0.00108,-0.098308,-0.13151108846575466,-0.13159402868919784,102.51666666666667,1.0,Full_Manual,5usd_15x_return
Short,2026-03-26 13:44:15,2026-03-26 15:14:50,69385.4,68902.9,0.00108,0.00108,0.5211,0.6953912494559374,0.6953912494559374,90.58333333333333,1.0,TP_Hit,5usd_15x_return
Short,2026-03-27 04:00:33,2026-03-27 05:33:06,68702.1,68461.4,0.00109,0.00109,0.262363,0.35035319153271877,0.3503531915327357,92.55,1.0,Near_TP,5usd_15x_return
Short,2026-03-28 08:00:52,2026-03-28 13:05:54,66461.65000000001,66407.66666666667,0.00211,0.00211,0.10783100000000001,0.07689357597425417,0.0812247865247661,305.03333333333336,1.0,Full_Manual,20usd_7x
Short,2026-03-28 16:00:50,2026-03-29 02:29:52,66997.725,66618.9,0.00209,0.00209,0.20977725,0.1498138779371286,0.5654296470514657,629.0333333333333,1.0,Near_TP,20usd_7x
Short,2026-03-29 02:23:23,2026-03-29 02:29:52,66638.40000000001,66618.9,0.00209,0.00209,0.20977725,0.15062169852840568,0.029262407260700358,6.483333333333333,1.0,Full_Manual,20usd_7x
Short,2026-03-29 02:25:49,2026-03-29 02:29:52,66622.2,66618.9,0.00418,0.00418,0.4195545,0.15065832403035795,0.004953303853674766,4.05,1.0,Full_Manual,20usd_7x
